Longitude (degrees), Latitude (degrees), Moho depth estimate (km)
2.0110305454526,43,32.0716520533533
2.22493458368242,43,28.9003128746947
2.28271622094096,45.8,28.1043226462898
2.42535674975736,45.8,28.1043226462898
2.50141269023712,44.4,28.1137839281332
2.57185940489733,45.1,27.324729968167
2.58554575713009,43.7,28.091684148962
2.74370872456088,44.4,28.1137839281332
2.79259426800565,43.7,28.091684148962
2.89958480066118,45.1,26.5325255911775
3,43.5325569438914,30.7425538198383
3,43.4044532409871,34.0838520309438
3,43.8583515463395,26.3461088052259
3,43.9548247053168,27.9288290104864
3,44.1999614207511,29.1598336145779
3,44.3106683244956,28.8081180134089
3,45.1378070481865,26.6978244063949
3,45.2817260230544,27.4012556087329
3,45.4161558347441,27.0495400075639
3,43.1116049564937,27.6010080426337
3,44.0797653538285,28.8081180134089
3,44.6854902700305,27.2253978081484
3,44.8657843704144,33.0287052274368
3,45.6470588054112,30.0391226175004
3,45.7435319643885,29.8632648169159
3,45.9760164622519,25.2909620017189
3,46.3191588471292,36.0734346408802
3,46.8591588471292,32.0734346408802
3.0173149443454,45.8,29.6904129601178
3.03063979434808,43,24.1433041067067
3.03588923653954,44.4,28.9061983329242
3.07817842093747,43.7,30.4733473191696
3.18848357892508,45.8,27.3112774893758
3.20593680104912,45.1,26.5325255911775
3.2995643327154,44.4,27.321369523342
3.31480102422217,46.5,35.2354081309433
3.35662297004598,43.7,32.0611227659747
3.41967075480815,45.1,26.5325255911775
3.48802868943951,45.8,25.7251871755478
3.57903654958119,46.5,34.4413094861006
3.59887119864475,44.4,28.9061983329242
3.65919732401919,45.8,24.9321420186337
3.66190256906838,45.1,28.1169343451566
3.67790514209427,43.7,33.6488982127797
3.8043918715744,47.2,31.2857518531148
3.83404087901781,44.4,27.321369523342
3.87897957836711,46.5,30.4708162618867
3.93975670895512,45.1,26.5325255911775
4,43.5381412022909,24.8994526546225
4,44.5174380597146,30.0497897868609
4,45.6452398196074,19.7459229402732
4,45.8360285214213,24.4203562307236
4,45.9475914063803,27.4767164590951
4,47.5549343840854,32.6366329804841
4,47.656388538511,31.8449707166845
4,47.0832615608784,30.0637306231354
4,47.8832615608784,30.9210528235623
4,43.6625383706664,25.1937576336075
4,44.0436701205826,26.3741621922936
4,44.172037411353,29.9026372973683
4,44.3070215727816,29.0197223604132
4,44.8788513055411,30.35329079168
4,45.0243681120094,28.1958600422413
4,45.2086894002025,26.9373587717354
4,45.3525893532656,27.4767164590951
4,45.4851713324923,28.0160741464547
4,46.0785565322018,28.0160741464547
4,46.1885025637556,28.3756459380278
4,46.3349844960453,30.4915779579724
4,46.5249305275991,30.8926484790396
4,46.9248506881788,28.0845749636363
4,47.2007347923187,31.4491395847847
4.02060612561244,43.7,25.7100209787544
4.022930672501,45.8,27.3112774893758
4.09771597519367,44.4,28.1137839281332
4.11464910098461,46.5,28.0885203273583
4.16061512783945,45.1,26.5325255911775
4.23689146572559,45.8,27.3112774893758
4.29191107089766,43.7,24.9161332553519
4.32447782572137,47.2,30.4935474761253
4.36981091984339,47.9,33.6590036481071
4.39316762771439,46.5,25.70622439283
4.39702284112303,44.4,30.4910271425065
4.45271819797679,45.1,28.1169343451566
4.47224833827265,45.8,28.8973678032038
4.52751799706641,43.7,25.7100209787544
4.59078647695786,47.9,32.8663791041205
4.60639954264109,43,28.10747808003
4.66454465375879,46.5,25.70622439283
4.66782429124958,44.4,27.321369523342
4.68620913149724,45.8,28.8973678032038
4.68782554711172,45.1,28.9091387221462
4.70207447736232,47.2,26.5325255911775
4.77740413088174,43.7,25.7100209787544
4.80604331165559,43,27.3146432853654
4.8645066729494,46.5,27.2944216825155
4.90016992472183,45.8,32.0695484308599
4.95432690963007,47.9,31.2811300161473
5,43.4535567057991,28.5577610563898
5,44.0389068622501,26.5577610563898
5,44.2454289689458,27.6101836291854
5,44.3668641705789,28.7810533803815
5,44.6836284674674,30.8947182830499
5,44.8737476643024,30.8947182830499
5,46.1773323254965,30.6616764811585
5,46.3764328766435,27.8651748584618
5,46.6405030813227,25.3017150376564
5,46.9003816954514,29.2634256698101
5,47.1928877306278,28.2216074008372
5,47.6164625617808,29.0978747920658
5,47.9297109252846,32.8220112047873
5,48.0676190098461,31.5076101179444
5,47.4036900884574,27.1262731618014
5,43.8940798269751,25.097574375597
